version 2.250507
id,uid,idc,vps,year,registration,renewal,total,avg,domain,reg,exp,ssl_exp
1,,112,1,,35,70,239,29.875,tutorial.pub,2017-04-01 18:40:30,2026-04-01 18:40:30,2025-07-04 12:41:22
2,,112,2,,32,45,,,jiedian.wang,2024-11-06 04:07:17,2025-11-06 04:07:17,2025-06-05 07:59:59
3,,112,1,,188,,188,18.8,softcool.top,2024-11-06 04:17:43,2034-11-06 04:17:43,2025-07-24 07:59:59
4,,112,1,,199,,199,19.9,jiedian.store,2024-11-06 04:25:07,2034-11-06 07:59:59,2025-07-24 07:59:59
5,,112,2,,188,,188,18.8,coolapp.top,2025-02-08 21:19:31,2035-02-08 21:19:31,2025-05-09 07:59:59
6,,112,2,,50,70,,,uuu.show,2025-02-09 12:09:19,2026-02-09 12:09:19,2025-05-29 07:59:59
7,,112,2,,10,98,,,uuu.hair,2025-02-09 16:41:34,2026-02-10 07:59:59,2025-05-29 07:59:59
8,,112,2,,10,98,,,uuu.skin,2025-02-09 16:41:34,2026-02-10 07:59:59,2025-05-29 07:59:59
9,,269,4,16,64,95,1152,72,urlnk.com,2010-03-10 18:20:18,2026-03-10 17:20:18,2025-07-27 07:59:59
10,,141,5,1,86.36,79.85,,,movcd.com,2024-06-05 00:00:00,2025-06-05 00:00:00,2025-06-17 07:59:59
11,,141,1,1,13.66,114.83,,,jiedian.one,2024-08-05 00:00:00,2025-08-05 00:00:00,2025-07-24 07:59:59
12,,141,5,1,28.11,71.47,,,movcd.cc,2024-10-07 00:00:00,2025-10-07 00:00:00,2025-07-19 07:59:59
13,,141,1,1,12.86,34.54,,,zisee.top,2024-11-09 00:00:00,2025-11-09 00:00:00,2025-06-03 07:59:59
14,,141,1,5,77.97,77.25,386.97,77.394,urlnk.org,2020-12-24 00:00:00,2025-12-24 00:00:00,2025-07-19 07:59:59
15,,141,1,1,179.87,179.87,,,zzz.spa,2025-01-08 00:00:00,2026-01-08 00:00:00,2025-07-16 07:59:59
16,,141,1,1,78.05,176.25,,,zzz.tips,2025-01-08 00:00:00,2026-01-08 00:00:00,2025-07-16 07:59:59
17,,141,1,1,143.73,143.73,,,zzz.kids,2025-01-08 00:00:00,2026-01-08 00:00:00,2025-07-16 07:59:59
18,,141,5,1,13.66,194.32,,,zzz.pics,2025-01-08 00:00:00,2026-01-09 00:00:00,2025-07-14 07:59:59
19,,141,2,1,179.87,179.87,,,coolapp.ooo,2025-02-08 00:00:00,2026-02-08 00:00:00,2025-05-09 07:59:59
20,,425,5,,59.53,127.4,,,mov.red,2025-01-30 22:31:16,2026-01-30 22:31:16,2025-06-30 06:12:56
21,,425,2,,88.26,109.6,,,softcool.app,2025-02-09 08:58:28,2026-02-09 08:58:28,2025-05-10 04:44:52
22,,914,2,,157.64,141.04,,,helenamattsson.se,2025-03-31 00:00:00,2026-03-31 00:00:00,2025-06-29 00:00:00
23,,,,,,,,,jiedian.tel,,,
24,,,,,,,,,coolapp.app,,,
25,,145,1,,368.55,368.55,,,mov.cd,2025-05-07 00:00:00,2026-05-07 00:00:00,
